clip_id,session_id,driver,lap,filename,label,annotator,notes
2024-british-r-RUS-155625,2024-british-r,RUS,33,2024-british-r-RUS-155625.mp3,Tired,,2024-07-07T14:56:49.4116411Z
2024-british-r-HAM-155741,2024-british-r,HAM,35,2024-british-r-HAM-155741.mp3,Tired,,2024-07-07T14:57:58.177Z
2024-british-r-HAM-160054,2024-british-r,HAM,37,2024-british-r-HAM-160054.mp3,Stressed,,2024-07-07T15:01:14.355Z
2024-british-r-VER-160312,2024-british-r,VER,38,2024-british-r-VER-160312.mp3,Calm,,2024-07-07T15:03:26.486Z
2024-british-r-PIA-160344,2024-british-r,PIA,41,2024-british-r-PIA-160344.mp3,Calm,,2024-07-07T15:08:25.385Z
2024-british-r-HAM-160752,2024-british-r,HAM,41,2024-british-r-HAM-160752.mp3,Calm,,2024-07-07T15:08:25.385Z
2024-british-r-VER-161324,2024-british-r,VER,45,2024-british-r-VER-161324.mp3,Tired,,2024-07-07T15:13:56.448Z
2024-british-r-HAM-162640,2024-british-r,HAM,52,2024-british-r-HAM-162640.mp3,Stressed,,2024-07-07T15:27:44.653Z
2024-british-r-HAM-162919,2024-british-r,HAM,52,2024-british-r-HAM-162919.mp3,Tired,,2024-07-07T15:29:55.12Z
2024-british-r-PER-163251,2024-british-r,PER,50,2024-british-r-PER-163251.mp3,Tired,,2024-07-07T15:31:30.408Z
2024-british-r-STR-163339,2024-british-r,STR,52,2024-british-r-STR-163339.mp3,Calm,,2024-07-07T15:31:30.408Z
2024-british-r-STR-163353,2024-british-r,STR,52,2024-british-r-STR-163353.mp3,Calm,,2024-07-07T15:31:30.408Z
2024-british-r-SAI-163514,2024-british-r,SAI,52,2024-british-r-SAI-163514.mp3,Calm,,2024-07-07T15:31:30.408Z
2024-british-r-PIA-163525,2024-british-r,PIA,52,2024-british-r-PIA-163525.mp3,Calm,,2024-07-07T15:31:30.408Z
2024-british-r-ALB-163552,2024-british-r,ALB,52,2024-british-r-ALB-163552.mp3,Tired,,2024-07-07T15:31:30.408Z
2024-british-r-VER-163554,2024-british-r,VER,52,2024-british-r-VER-163554.mp3,Calm,,2024-07-07T15:31:30.408Z
2024-british-r-VER-163616,2024-british-r,VER,52,2024-british-r-VER-163616.mp3,Tired,,2024-07-07T15:31:30.408Z
2024-british-r-BOT-163617,2024-british-r,BOT,51,2024-british-r-BOT-163617.mp3,Calm,,2024-07-07T15:31:30.408Z
2024-british-r-HUL-163650,2024-british-r,HUL,52,2024-british-r-HUL-163650.mp3,Stressed,,2024-07-07T15:31:30.408Z
2024-british-r-MAG-163730,2024-british-r,MAG,52,2024-british-r-MAG-163730.mp3,Calm,,2024-07-07T15:31:30.408Z
2024-british-r-MAG-163752,2024-british-r,MAG,52,2024-british-r-MAG-163752.mp3,Tired,,2024-07-07T15:31:30.408Z
2024-british-r-SAR-163735,2024-british-r,SAR,52,2024-british-r-SAR-163735.mp3,Calm,,2024-07-07T15:31:30.408Z
2024-british-r-ALB-163754,2024-british-r,ALB,52,2024-british-r-ALB-163754.mp3,Calm,,2024-07-07T15:31:30.408Z
2024-italian-r-ALO-142412,2024-italian-r,ALO,,2024-italian-r-ALO-142412.mp3,Calm,,2024-09-01T12:24:46.541Z
2024-italian-r-NOR-142542,2024-italian-r,NOR,,2024-italian-r-NOR-142542.mp3,Calm,,2024-09-01T12:25:54.057Z
2024-italian-r-GAS-142858,2024-italian-r,GAS,,2024-italian-r-GAS-142858.mp3,Calm,,2024-09-01T12:29:44.701Z
2024-italian-r-RIC-145543,2024-italian-r,RIC,,2024-italian-r-RIC-145543.mp3,Calm,,2024-09-01T12:56:07.02Z
2024-italian-r-LEC-145557,2024-italian-r,LEC,,2024-italian-r-LEC-145557.mp3,Calm,,2024-09-01T12:56:09.109Z
2024-italian-r-PIA-145909,2024-italian-r,PIA,,2024-italian-r-PIA-145909.mp3,Stressed,,2024-09-01T12:59:26.012Z
2024-italian-r-BOT-150252,2024-italian-r,BOT,,2024-italian-r-BOT-150252.mp3,Calm,,2024-09-01T13:03:17.821Z
2024-italian-r-VER-150504,2024-italian-r,VER,2,2024-italian-r-VER-150504.mp3,Stressed,,2024-09-01T13:05:30.784Z
2024-italian-r-PER-150642,2024-italian-r,PER,3,2024-italian-r-PER-150642.mp3,Tired,,2024-09-01T13:07:11.109Z
2024-italian-r-RUS-150705,2024-italian-r,RUS,3,2024-italian-r-RUS-150705.mp3,Stressed,,2024-09-01T13:07:42.379Z
2024-italian-r-HUL-150829,2024-italian-r,HUL,4,2024-italian-r-HUL-150829.mp3,Tired,,2024-09-01T13:08:48.9090646Z
2024-italian-r-PIA-151235,2024-italian-r,PIA,7,2024-italian-r-PIA-151235.mp3,Calm,,2024-09-01T13:13:13.005Z
2024-italian-r-VER-151337,2024-italian-r,VER,8,2024-italian-r-VER-151337.mp3,Calm,,2024-09-01T13:13:47.132Z
2024-italian-r-PIA-151853,2024-italian-r,PIA,12,2024-italian-r-PIA-151853.mp3,Calm,,2024-09-01T13:19:17.951Z
2024-italian-r-OCO-151859,2024-italian-r,OCO,11,2024-italian-r-OCO-151859.mp3,Stressed,,2024-09-01T13:19:17.951Z
2024-italian-r-NOR-152319,2024-italian-r,NOR,15,2024-italian-r-NOR-152319.mp3,Tired,,2024-09-01T13:23:39.818Z
2024-italian-r-LEC-152422,2024-italian-r,LEC,15,2024-italian-r-LEC-152422.mp3,Calm,,2024-09-01T13:24:45.547Z
2024-italian-r-PER-152548,2024-italian-r,PER,16,2024-italian-r-PER-152548.mp3,Tired,,2024-09-01T13:26:24.627Z
2024-italian-r-SAI-152606,2024-italian-r,SAI,17,2024-italian-r-SAI-152606.mp3,Tired,,2024-09-01T13:26:24.735Z
2024-italian-r-LEC-152652,2024-italian-r,LEC,17,2024-italian-r-LEC-152652.mp3,Stressed,,2024-09-01T13:27:30.986Z
2024-italian-r-NOR-152758,2024-italian-r,NOR,18,2024-italian-r-NOR-152758.mp3,Calm,,2024-09-01T13:28:37.294Z
2024-italian-r-NOR-153532,2024-italian-r,NOR,23,2024-italian-r-NOR-153532.mp3,Stressed,,2024-09-01T13:35:46.422Z
2024-italian-r-VER-153657,2024-italian-r,VER,24,2024-italian-r-VER-153657.mp3,Stressed,,2024-09-01T13:37:25.925Z
2024-italian-r-HAM-154050,2024-italian-r,HAM,27,2024-italian-r-HAM-154050.mp3,Calm,,2024-09-01T13:41:16.505Z
2024-italian-r-MAG-154256,2024-italian-r,MAG,28,2024-italian-r-MAG-154256.mp3,Calm,,2024-09-01T13:43:28.708Z
2024-italian-r-LEC-154627,2024-italian-r,LEC,31,2024-italian-r-LEC-154627.mp3,Tired,,2024-09-01T13:46:48.562Z
2024-italian-r-MAG-154635,2024-italian-r,MAG,30,2024-italian-r-MAG-154635.mp3,Calm,,2024-09-01T13:46:48.7688602Z
2024-italian-r-PER-154840,2024-italian-r,PER,32,2024-italian-r-PER-154840.mp3,Tired,,2024-09-01T13:49:02.812Z
2024-italian-r-VER-154937,2024-italian-r,VER,33,2024-italian-r-VER-154937.mp3,Calm,,2024-09-01T13:50:07.97Z
2024-italian-r-NOR-155020,2024-italian-r,NOR,33,2024-italian-r-NOR-155020.mp3,Tired,,2024-09-01T13:50:40.544Z
2024-italian-r-ALB-155118,2024-italian-r,ALB,34,2024-italian-r-ALB-155118.mp3,Stressed,,2024-09-01T13:51:48.288Z
2024-italian-r-PIA-155413,2024-italian-r,PIA,37,2024-italian-r-PIA-155413.mp3,Tired,,2024-09-01T13:54:33.848Z
2024-italian-r-VER-155456,2024-italian-r,VER,37,2024-italian-r-VER-155456.mp3,Stressed,,2024-09-01T13:55:05.845Z
2024-italian-r-PIA-155610,2024-italian-r,PIA,38,2024-italian-r-PIA-155610.mp3,Tired,,2024-09-01T13:56:45.334Z
2024-italian-r-HAM-160143,2024-italian-r,HAM,42,2024-italian-r-HAM-160143.mp3,Calm,,2024-09-01T14:02:15.576Z
2024-italian-r-HUL-160232,2024-italian-r,HUL,41,2024-italian-r-HUL-160232.mp3,Tired,,2024-09-01T14:02:50.226Z
2024-italian-r-NOR-160239,2024-italian-r,NOR,42,2024-italian-r-NOR-160239.mp3,Stressed,,2024-09-01T14:02:50.226Z
2024-italian-r-HUL-160441,2024-italian-r,HUL,43,2024-italian-r-HUL-160441.mp3,Tired,,2024-09-01T14:05:00.859Z
2024-italian-r-SAI-160606,2024-italian-r,SAI,45,2024-italian-r-SAI-160606.mp3,Stressed,,2024-09-01T14:06:40.856Z
2024-italian-r-HAM-160647,2024-italian-r,HAM,45,2024-italian-r-HAM-160647.mp3,Calm,,2024-09-01T14:07:13.723Z
2024-italian-r-LEC-160915,2024-italian-r,LEC,47,2024-italian-r-LEC-160915.mp3,Tired,,2024-09-01T14:09:26.375Z
2024-italian-r-RUS-160942,2024-italian-r,RUS,47,2024-italian-r-RUS-160942.mp3,Calm,,2024-09-01T14:10:01.38Z
2024-italian-r-VER-161140,2024-italian-r,VER,49,2024-italian-r-VER-161140.mp3,Stressed,,2024-09-01T14:12:11.742Z
2024-italian-r-LEC-161929,2024-italian-r,LEC,53,2024-italian-r-LEC-161929.mp3,Stressed,,2024-09-01T14:20:29.053Z
2024-italian-r-LEC-162131,2024-italian-r,LEC,53,2024-italian-r-LEC-162131.mp3,Tired,,2024-09-01T14:20:34.649Z
2024-italian-r-PIA-162231,2024-italian-r,PIA,53,2024-italian-r-PIA-162231.mp3,Tired,,2024-09-01T14:20:34.649Z
2024-italian-r-MAG-162400,2024-italian-r,MAG,53,2024-italian-r-MAG-162400.mp3,Calm,,2024-09-01T14:20:34.649Z
2024-italian-r-COL-162433,2024-italian-r,COL,53,2024-italian-r-COL-162433.mp3,Calm,,2024-09-01T14:20:34.649Z
2024-italian-r-HUL-162613,2024-italian-r,HUL,52,2024-italian-r-HUL-162613.mp3,Calm,,2024-09-01T14:20:34.649Z
2024-italian-r-ALB-162622,2024-italian-r,ALB,53,2024-italian-r-ALB-162622.mp3,Tired,,2024-09-01T14:20:34.649Z
2024-italian-r-ZHO-162736,2024-italian-r,ZHO,52,2024-italian-r-ZHO-162736.mp3,Calm,,2024-09-01T14:20:34.649Z
2024-italian-r-BOT-162901,2024-italian-r,BOT,52,2024-italian-r-BOT-162901.mp3,Calm,,2024-09-01T14:20:34.649Z
2024-italian-r-VER-162843,2024-italian-r,VER,53,2024-italian-r-VER-162843.mp3,Calm,,2024-09-01T14:20:34.649Z
2024-italian-r-VER-162918,2024-italian-r,VER,53,2024-italian-r-VER-162918.mp3,Tired,,2024-09-01T14:20:34.649Z
2024-italian-r-PER-162920,2024-italian-r,PER,53,2024-italian-r-PER-162920.mp3,Tired,,2024-09-01T14:20:34.649Z
2024-italian-r-PER-162931,2024-italian-r,PER,53,2024-italian-r-PER-162931.mp3,Tired,,2024-09-01T14:20:34.649Z
2024-italian-r-HAM-162933,2024-italian-r,HAM,53,2024-italian-r-HAM-162933.mp3,Calm,,2024-09-01T14:20:34.649Z
2024-italian-r-RUS-163000,2024-italian-r,RUS,53,2024-italian-r-RUS-163000.mp3,Calm,,2024-09-01T14:20:34.649Z
2024-italian-r-SAI-163006,2024-italian-r,SAI,53,2024-italian-r-SAI-163006.mp3,Tired,,2024-09-01T14:20:34.649Z
2024-italian-r-SAI-163012,2024-italian-r,SAI,53,2024-italian-r-SAI-163012.mp3,Tired,,2024-09-01T14:20:34.649Z
2024-italian-r-RIC-163021,2024-italian-r,RIC,53,2024-italian-r-RIC-163021.mp3,Stressed,,2024-09-01T14:20:34.649Z
2024-italian-r-GAS-163013,2024-italian-r,GAS,52,2024-italian-r-GAS-163013.mp3,Tired,,2024-09-01T14:20:34.649Z
2024-italian-r-GAS-163045,2024-italian-r,GAS,52,2024-italian-r-GAS-163045.mp3,Tired,,2024-09-01T14:20:34.649Z
2024-italian-r-OCO-163046,2024-italian-r,OCO,52,2024-italian-r-OCO-163046.mp3,Calm,,2024-09-01T14:20:34.649Z
2024-italian-r-RIC-163049,2024-italian-r,RIC,53,2024-italian-r-RIC-163049.mp3,Tired,,2024-09-01T14:20:34.649Z
2024-singapore-r-HAM-192005,2024-singapore-r,HAM,,2024-singapore-r-HAM-192005.mp3,Calm,,2024-09-22T11:20:10.75Z
2024-singapore-r-COL-192211,2024-singapore-r,COL,,2024-singapore-r-COL-192211.mp3,Stressed,,2024-09-22T11:22:22.852Z
2024-singapore-r-NOR-192248,2024-singapore-r,NOR,,2024-singapore-r-NOR-192248.mp3,Tired,,2024-09-22T11:22:56.195Z
2024-singapore-r-BOT-192329,2024-singapore-r,BOT,,2024-singapore-r-BOT-192329.mp3,Tired,,2024-09-22T11:24:02.522Z
2024-singapore-r-RUS-192418,2024-singapore-r,RUS,,2024-singapore-r-RUS-192418.mp3,Stressed,,2024-09-22T11:24:36.48Z
2024-singapore-r-LEC-192529,2024-singapore-r,LEC,,2024-singapore-r-LEC-192529.mp3,Tired,,2024-09-22T11:25:42.03Z
2024-singapore-r-HAM-192614,2024-singapore-r,HAM,,2024-singapore-r-HAM-192614.mp3,Calm,,2024-09-22T11:26:48.064Z
2024-singapore-r-RUS-192643,2024-singapore-r,RUS,,2024-singapore-r-RUS-192643.mp3,Stressed,,2024-09-22T11:27:21.95Z
2024-singapore-r-STR-192827,2024-singapore-r,STR,,2024-singapore-r-STR-192827.mp3,Calm,,2024-09-22T11:29:02.2Z
2024-singapore-r-STR-192858,2024-singapore-r,STR,,2024-singapore-r-STR-192858.mp3,Calm,,2024-09-22T11:29:34.1774607Z
2024-singapore-r-STR-192927,2024-singapore-r,STR,,2024-singapore-r-STR-192927.mp3,Tired,,2024-09-22T11:30:07.5758076Z
2024-singapore-r-ZHO-195530,2024-singapore-r,ZHO,,2024-singapore-r-ZHO-195530.mp3,Calm,,2024-09-22T11:56:01.865Z
2024-singapore-r-GAS-195544,2024-singapore-r,GAS,,2024-singapore-r-GAS-195544.mp3,Tired,,2024-09-22T11:56:01.865Z
2024-singapore-r-RUS-200837,2024-singapore-r,RUS,4,2024-singapore-r-RUS-200837.mp3,Stressed,,2024-09-22T12:09:14.327Z
2024-singapore-r-ALB-201037,2024-singapore-r,ALB,5,2024-singapore-r-ALB-201037.mp3,Stressed,,2024-09-22T12:10:54.606Z
2024-singapore-r-LEC-201441,2024-singapore-r,LEC,7,2024-singapore-r-LEC-201441.mp3,Tired,,2024-09-22T12:15:17.339Z
2024-singapore-r-HUL-201647,2024-singapore-r,HUL,8,2024-singapore-r-HUL-201647.mp3,Stressed,,2024-09-22T12:16:56.317Z
2024-singapore-r-NOR-201706,2024-singapore-r,NOR,9,2024-singapore-r-NOR-201706.mp3,Calm,,2024-09-22T12:17:30.831Z
2024-singapore-r-PER-201818,2024-singapore-r,PER,9,2024-singapore-r-PER-201818.mp3,Tired,,2024-09-22T12:18:36.324Z
2024-singapore-r-PIA-201936,2024-singapore-r,PIA,10,2024-singapore-r-PIA-201936.mp3,Calm,,2024-09-22T12:20:16.464Z
2024-singapore-r-LEC-202040,2024-singapore-r,LEC,11,2024-singapore-r-LEC-202040.mp3,Tired,,2024-09-22T12:20:48.602Z
2024-singapore-r-TSU-202148,2024-singapore-r,TSU,12,2024-singapore-r-TSU-202148.mp3,Stressed,,2024-09-22T12:22:27.793Z
2024-singapore-r-MAG-202335,2024-singapore-r,MAG,13,2024-singapore-r-MAG-202335.mp3,Tired,,2024-09-22T12:24:07.212Z
2024-singapore-r-NOR-202608,2024-singapore-r,NOR,14,2024-singapore-r-NOR-202608.mp3,Tired,,2024-09-22T12:26:19.5485212Z
2024-singapore-r-PER-202910,2024-singapore-r,PER,16,2024-singapore-r-PER-202910.mp3,Calm,,2024-09-22T12:29:38.295Z
2024-singapore-r-LEC-203306,2024-singapore-r,LEC,18,2024-singapore-r-LEC-203306.mp3,Calm,,2024-09-22T12:33:30.511Z
2024-singapore-r-HAM-203645,2024-singapore-r,HAM,21,2024-singapore-r-HAM-203645.mp3,Tired,,2024-09-22T12:37:22.23Z
2024-singapore-r-NOR-203732,2024-singapore-r,NOR,21,2024-singapore-r-NOR-203732.mp3,Calm,,2024-09-22T12:37:55.495Z
2024-singapore-r-HAM-203942,2024-singapore-r,HAM,22,2024-singapore-r-HAM-203942.mp3,Calm,,2024-09-22T12:40:08.084Z
2024-singapore-r-LEC-204120,2024-singapore-r,LEC,23,2024-singapore-r-LEC-204120.mp3,Tired,,2024-09-22T12:41:47.626Z
2024-singapore-r-HAM-204450,2024-singapore-r,HAM,25,2024-singapore-r-HAM-204450.mp3,Tired,,2024-09-22T12:45:06.206Z
2024-singapore-r-HAM-204621,2024-singapore-r,HAM,26,2024-singapore-r-HAM-204621.mp3,Tired,,2024-09-22T12:46:44.436Z
2024-singapore-r-VER-204715,2024-singapore-r,VER,27,2024-singapore-r-VER-204715.mp3,Tired,,2024-09-22T12:47:51.726Z
2024-singapore-r-PIA-204918,2024-singapore-r,PIA,28,2024-singapore-r-PIA-204918.mp3,Tired,,2024-09-22T12:49:29.633985Z
2024-singapore-r-NOR-205056,2024-singapore-r,NOR,30,2024-singapore-r-NOR-205056.mp3,Tired,,2024-09-22T12:51:09.008Z
2024-singapore-r-VER-205420,2024-singapore-r,VER,31,2024-singapore-r-VER-205420.mp3,Stressed,,2024-09-22T12:55:00.638Z
2024-singapore-r-NOR-205504,2024-singapore-r,NOR,32,2024-singapore-r-NOR-205504.mp3,Stressed,,2024-09-22T12:55:33.7429317Z
2024-singapore-r-RUS-205633,2024-singapore-r,RUS,33,2024-singapore-r-RUS-205633.mp3,Calm,,2024-09-22T12:57:13.511Z
2024-singapore-r-LEC-205658,2024-singapore-r,LEC,33,2024-singapore-r-LEC-205658.mp3,Calm,,2024-09-22T12:57:13.511Z
2024-singapore-r-PIA-205833,2024-singapore-r,PIA,34,2024-singapore-r-PIA-205833.mp3,Calm,,2024-09-22T12:58:53.768Z
2024-singapore-r-PIA-205943,2024-singapore-r,PIA,35,2024-singapore-r-PIA-205943.mp3,Tired,,2024-09-22T12:59:58.98Z
2024-singapore-r-HAM-210026,2024-singapore-r,HAM,35,2024-singapore-r-HAM-210026.mp3,Calm,,2024-09-22T13:00:34.11Z
2024-singapore-r-LEC-210330,2024-singapore-r,LEC,37,2024-singapore-r-LEC-210330.mp3,Calm,,2024-09-22T13:03:51.074Z
2024-singapore-r-PIA-210421,2024-singapore-r,PIA,38,2024-singapore-r-PIA-210421.mp3,Tired,,2024-09-22T13:04:57.701Z
2024-singapore-r-TSU-210931,2024-singapore-r,TSU,40,2024-singapore-r-TSU-210931.mp3,Stressed,,2024-09-22T13:09:55.826Z
2024-singapore-r-TSU-211013,2024-singapore-r,TSU,40,2024-singapore-r-TSU-211013.mp3,Stressed,,2024-09-22T13:10:28.7982206Z
2024-singapore-r-LEC-211423,2024-singapore-r,LEC,43,2024-singapore-r-LEC-211423.mp3,Calm,,2024-09-22T13:14:53.255Z
2024-singapore-r-RUS-211546,2024-singapore-r,RUS,44,2024-singapore-r-RUS-211546.mp3,Tired,,2024-09-22T13:15:59.313Z
2024-singapore-r-HUL-211930,2024-singapore-r,HUL,46,2024-singapore-r-HUL-211930.mp3,Calm,,2024-09-22T13:19:50.422Z
2024-singapore-r-RUS-212002,2024-singapore-r,RUS,47,2024-singapore-r-RUS-212002.mp3,Stressed,,2024-09-22T13:20:23.772Z
2024-singapore-r-PER-212117,2024-singapore-r,PER,47,2024-singapore-r-PER-212117.mp3,Tired,,2024-09-22T13:21:29.4239897Z
2024-singapore-r-NOR-212320,2024-singapore-r,NOR,49,2024-singapore-r-NOR-212320.mp3,Tired,,2024-09-22T13:23:43.473Z
2024-singapore-r-LEC-212643,2024-singapore-r,LEC,51,2024-singapore-r-LEC-212643.mp3,Stressed,,2024-09-22T13:27:00.0838997Z
2024-singapore-r-RUS-212752,2024-singapore-r,RUS,52,2024-singapore-r-RUS-212752.mp3,Stressed,,2024-09-22T13:28:06.471Z
2024-singapore-r-RUS-212900,2024-singapore-r,RUS,52,2024-singapore-r-RUS-212900.mp3,Calm,,2024-09-22T13:29:12.56Z
2024-singapore-r-LEC-213022,2024-singapore-r,LEC,53,2024-singapore-r-LEC-213022.mp3,Calm,,2024-09-22T13:30:52.594Z
2024-singapore-r-NOR-213202,2024-singapore-r,NOR,55,2024-singapore-r-NOR-213202.mp3,Calm,,2024-09-22T13:32:32.306Z
2024-singapore-r-NOR-213550,2024-singapore-r,NOR,57,2024-singapore-r-NOR-213550.mp3,Tired,,2024-09-22T13:36:23.54Z
2024-singapore-r-PER-213745,2024-singapore-r,PER,57,2024-singapore-r-PER-213745.mp3,Tired,,2024-09-22T13:38:03.1043213Z
2024-singapore-r-LEC-214221,2024-singapore-r,LEC,60,2024-singapore-r-LEC-214221.mp3,Tired,,2024-09-22T13:42:28.004Z
2024-singapore-r-NOR-214610,2024-singapore-r,NOR,62,2024-singapore-r-NOR-214610.mp3,Calm,,2024-09-22T13:46:52.761Z
2024-singapore-r-VER-214702,2024-singapore-r,VER,62,2024-singapore-r-VER-214702.mp3,Calm,,2024-09-22T13:47:27.861Z
2024-singapore-r-PIA-214806,2024-singapore-r,PIA,62,2024-singapore-r-PIA-214806.mp3,Calm,,2024-09-22T13:47:27.861Z
2024-singapore-r-PER-214945,2024-singapore-r,PER,61,2024-singapore-r-PER-214945.mp3,Tired,,2024-09-22T13:47:27.861Z
2024-singapore-r-HAM-215043,2024-singapore-r,HAM,62,2024-singapore-r-HAM-215043.mp3,Calm,,2024-09-22T13:47:27.861Z
2024-singapore-r-HUL-215218,2024-singapore-r,HUL,61,2024-singapore-r-HUL-215218.mp3,Calm,,2024-09-22T13:47:27.861Z
2024-singapore-r-RUS-215248,2024-singapore-r,RUS,62,2024-singapore-r-RUS-215248.mp3,Stressed,,2024-09-22T13:47:27.861Z
2024-singapore-r-ZHO-215342,2024-singapore-r,ZHO,61,2024-singapore-r-ZHO-215342.mp3,Calm,,2024-09-22T13:47:27.861Z
2024-singapore-r-ALB-215542,2024-singapore-r,ALB,15,2024-singapore-r-ALB-215542.mp3,Calm,,2024-09-22T13:47:27.861Z
2024-singapore-r-SAI-215613,2024-singapore-r,SAI,62,2024-singapore-r-SAI-215613.mp3,Tired,,2024-09-22T13:47:27.861Z
2024-singapore-r-RIC-215645,2024-singapore-r,RIC,61,2024-singapore-r-RIC-215645.mp3,Calm,,2024-09-22T13:47:27.861Z
2024-singapore-r-TSU-215746,2024-singapore-r,TSU,61,2024-singapore-r-TSU-215746.mp3,Calm,,2024-09-22T13:47:27.861Z
2024-singapore-r-PIA-215754,2024-singapore-r,PIA,62,2024-singapore-r-PIA-215754.mp3,Calm,,2024-09-22T13:47:27.861Z
2024-singapore-r-STR-215949,2024-singapore-r,STR,61,2024-singapore-r-STR-215949.mp3,Tired,,2024-09-22T13:47:27.861Z
2024-singapore-r-ALO-215957,2024-singapore-r,ALO,61,2024-singapore-r-ALO-215957.mp3,Tired,,2024-09-22T13:47:27.861Z
2024-singapore-r-OCO-220040,2024-singapore-r,OCO,61,2024-singapore-r-OCO-220040.mp3,Calm,,2024-09-22T13:47:27.861Z
2024-singapore-r-GAS-220139,2024-singapore-r,GAS,61,2024-singapore-r-GAS-220139.mp3,Tired,,2024-09-22T13:47:27.861Z
2023-dutch-r-VER-131032,2023-dutch-r,VER,,2023-dutch-r-VER-131032.mp3,Tired,,2023-08-27T12:11:03.646648Z
2023-dutch-r-STR-131212,2023-dutch-r,STR,,2023-dutch-r-STR-131212.mp3,Calm,,2023-08-27T12:12:44.7548318Z
2023-dutch-r-MAG-131253,2023-dutch-r,MAG,,2023-dutch-r-MAG-131253.mp3,Calm,,2023-08-27T12:13:18.917Z
2023-dutch-r-PER-131331,2023-dutch-r,PER,,2023-dutch-r-PER-131331.mp3,Calm,,2023-08-27T12:13:53.995Z
2023-dutch-r-LEC-131501,2023-dutch-r,LEC,,2023-dutch-r-LEC-131501.mp3,Calm,,2023-08-27T12:15:34.29Z
2023-dutch-r-OCO-131556,2023-dutch-r,OCO,,2023-dutch-r-OCO-131556.mp3,Calm,,2023-08-27T12:16:41.6548245Z
2023-dutch-r-ALB-141808,2023-dutch-r,ALB,,2023-dutch-r-ALB-141808.mp3,Tired,,2023-08-27T12:17:50.006Z
2023-dutch-r-HUL-131743,2023-dutch-r,HUL,,2023-dutch-r-HUL-131743.mp3,Tired,,2023-08-27T12:19:00.052Z
2023-dutch-r-ALB-132103,2023-dutch-r,ALB,,2023-dutch-r-ALB-132103.mp3,Calm,,2023-08-27T12:21:12.643Z
2023-dutch-r-BOT-132122,2023-dutch-r,BOT,,2023-dutch-r-BOT-132122.mp3,Calm,,2023-08-27T12:21:46.4544969Z
2023-dutch-r-HUL-132200,2023-dutch-r,HUL,,2023-dutch-r-HUL-132200.mp3,Calm,,2023-08-27T12:22:20.83Z
